Stage,Power_W,Power_uW,Step_loss_dB,Cumulative_loss_dB
Source,0.001,1000,0,-0
After_K1_launch,0.000477496293010718,477.496293010718,3.21029995663981,3.21029995663981
After_common_connector_forward,0.000456005419677955,456.005419677955,0.2,3.41029995663981
After_polarizer_forward,0.000379288787514592,379.288787514592,0.8,4.21029995663981
After_depolarizer_forward,0.000353972892192069,353.972892192069,0.3,4.51029995663981
K2_loop_return_scale,0.000128215345997841,128.215345997841,4.41029995663981,8.92059991327962
After_depolarizer_return,0.00011965752308066,119.65752308066,0.3,9.22059991327962
After_polarizer_return,9.95267926383744e-05,99.5267926383743,0.8,10.0205999132796
After_common_connector_return,9.50473490801403e-05,95.0473490801403,0.2,10.2205999132796
Detector_interference_scale,4.53847568462627e-05,45.3847568462627,3.21029995663981,13.4308998699194
