f_mod_kHz,Ts_us,Steps_per_period,tau_over_Ts,Delay_fractional_step,beta_teoria_rad,beta_symulacja_rad,Blad_beta_rad,Blad_beta_percent,Omega_zmierzone_deg_s,Blad_Omega_deg_s,STD_Omega_deg_s,Runtime_s
20,0.2,250,24.4869401913876,0.486940191387559,1.84,1.83989151658003,-0.00010848341997427,-0.00589583804177556,0.999983304416968,-1.66955830320759e-05,5.17401735241171e-06,0.6279188
20,0.1,500,48.9738803827751,0.0261196172248827,1.84,1.83996369225587,-3.63077441258897e-05,-0.00197324718075487,0.999990902523889,-9.09747611055356e-06,5.17402040320592e-06,1.042659
20,0.05,1000,97.9477607655502,0.0522392344497654,1.84,1.83999908188701,-9.18112991654674e-07,-4.98974452094931e-05,0.999996019388879,-3.98061112083536e-06,5.17401765643301e-06,2.529765
20,0.02,2500,244.869401913876,0.130598086124254,1.84,1.83999857148182,-1.42851818138445e-06,-7.76368576839374e-05,0.999997507333409,-2.49266659069258e-06,5.17401699517172e-06,3.660572
50,0.2,100,24.4869401913876,0.486940191387559,4.22590494356799,4.2243516609797,-0.00155328258829623,-0.0367562135400842,0.999030258848341,-0.000969741151658931,4.82162735907005e-06,0.4607585
50,0.1,200,48.9738803827751,0.0261196172248827,4.22590494356799,4.22538381269206,-0.000521130875931198,-0.0123318208628973,0.999537161935753,-0.000462838064247059,4.8239899707458e-06,0.7971604
50,0.05,400,97.9477607655502,0.0522392344497654,4.22590494356799,4.22589175003642,-1.31935315694776e-05,-0.000312205879396863,0.999878318525106,-0.000121681474893998,4.82557069718778e-06,1.468153
50,0.02,1000,244.869401913876,0.130598086124254,4.22590494356799,4.22588443947054,-2.05040974474734e-05,-0.000485200094795358,0.999977522718738,-2.24772812615914e-05,4.82614049151979e-06,3.485125
102.095238387141,0.2,48.9738803827751,24.4869401913876,0.486940191387559,6.07503590432029,6.06879257288466,-0.00624333143562961,-0.102770280939439,1.00149227413731,0.0014922741373069,4.99202413062172e-06,0.535738
102.095238387141,0.1,97.9477607655502,48.9738803827751,0.0261196172248827,6.07503590432029,6.07487694448345,-0.000158959836840999,-0.00261660631278068,1.00071100948244,0.000711009482443403,4.98875846967188e-06,0.7965848
102.095238387141,0.05,195.8955215311,97.9477607655502,0.0522392344497654,6.07503590432029,6.07495851996675,-7.73843535379992e-05,-0.00127380875430806,1.00018307023965,0.000183070239651473,4.98652295846885e-06,1.459869
102.095238387141,0.02,489.738804929611,244.869401913876,0.130598086124254,6.07503590432029,6.07500751916422,-2.83851560686377e-05,-0.000467242604882395,1.00002935681399,2.93568139924069e-05,4.98580091814515e-06,3.487164
150,0.2,33.3333333333333,24.4869401913876,0.486940191387559,4.49831449403268,4.48755680819461,-0.0107576858380645,-0.239149344589852,0.994864922910592,-0.00513507708940841,4.80989776704267e-06,0.4358299
150,0.1,66.6666666666667,48.9738803827751,0.0261196172248827,4.49831449403268,4.49758557339412,-0.000728920638557894,-0.0162043050038081,0.997568064033256,-0.00243193596674374,4.82302586897559e-06,0.7974527
150,0.05,133.333333333333,97.9477607655502,0.0522392344497654,4.49831449403268,4.49818574955116,-0.000128744481514121,-0.00286206226715696,0.999367393168789,-0.000632606831211135,4.83173185674489e-06,1.468846
150,0.02,333.333333333333,244.869401913876,0.130598086124254,4.49831449403268,4.49826080276291,-5.36912697635139e-05,-0.00119358578371896,0.999890455381111,-0.000109544618889112,4.83432622621873e-06,3.509078
