Omega_zadane_deg_s,Run,Omega_zmierzone_deg_s,Blad_deg_s
0,1,9.99822561208941e-06,9.99822561208941e-06
0,2,2.82298475662417e-05,2.82298475662417e-05
0,3,4.28836397206615e-05,4.28836397206615e-05
0,4,3.64753097960063e-06,3.64753097960063e-06
0,5,-1.36417218782105e-05,-1.36417218782105e-05
0,6,1.07999335855286e-05,1.07999335855286e-05
0,7,4.01987934944077e-05,4.01987934944077e-05
0,8,-1.64149752071273e-05,-1.64149752071273e-05
0,9,2.06079321333341e-06,2.06079321333341e-06
0,10,-2.97537152804136e-05,-2.97537152804136e-05
0,11,6.35259404944994e-06,6.35259404944994e-06
0,12,-3.71996921202794e-05,-3.71996921202794e-05
0.0001,1,6.5483243733986e-05,-3.4516756266014e-05
0.0001,2,0.000104493199821012,4.49319982101225e-06
0.0001,3,8.59637420902379e-05,-1.40362579097621e-05
0.0001,4,8.86134489839087e-05,-1.13865510160913e-05
0.0001,5,0.000128847522259777,2.88475222597765e-05
0.0001,6,0.000133070323761197,3.30703237611969e-05
0.0001,7,8.70437450952052e-05,-1.29562549047948e-05
0.0001,8,0.000112150638588082,1.21506385880821e-05
0.0001,9,0.000133007217854543,3.30072178545428e-05
0.0001,10,0.000117236106696283,1.72361066962834e-05
0.0001,11,6.9425301611344e-05,-3.0574698388656e-05
0.0001,12,8.5925591956948e-05,-1.4074408043052e-05
0.0005,1,0.0005084221682502,8.42216825020024e-06
0.0005,2,0.00050366564416088,3.66564416088048e-06
0.0005,3,0.000533772081504153,3.37720815041533e-05
0.0005,4,0.000498180377420348,-1.8196225796518e-06
0.0005,5,0.000465247614755346,-3.47523852446538e-05
0.0005,6,0.000494320898871619,-5.67910112838146e-06
0.0005,7,0.000454750363563635,-4.52496364363655e-05
0.0005,8,0.000501196063590759,1.19606359075849e-06
0.0005,9,0.000481406061713776,-1.85939382862239e-05
0.0005,10,0.000498788497121424,-1.21150287857644e-06
0.0005,11,0.000514928905288802,1.49289052888016e-05
0.0005,12,0.000463508266013436,-3.64917339865636e-05
0.001,1,0.00100521276107051,5.21276107051075e-06
0.001,2,0.000999163186408342,-8.36813591658173e-07
0.001,3,0.000969637920740266,-3.03620792597338e-05
0.001,4,0.000999968303975364,-3.1696024636093e-08
0.001,5,0.000998579658321858,-1.42034167814175e-06
0.001,6,0.00099025966566193,-9.7403343380703e-06
0.001,7,0.000996030927402843,-3.96907259715739e-06
0.001,8,0.000987543217623764,-1.24567823762362e-05
0.001,9,0.00100610562338826,6.10562338826089e-06
0.001,10,0.00102034260203122,2.03426020312183e-05
0.001,11,0.00102302496014366,2.3024960143659e-05
0.001,12,0.00101053365463432,1.05336546343177e-05
0.005,1,0.00501030918909541,1.0309189095406e-05
0.005,2,0.00496919416943178,-3.0805830568221e-05
0.005,3,0.00500454100209905,4.54100209905297e-06
0.005,4,0.00502008895072737,2.00889507273715e-05
0.005,5,0.00502200263191536,2.20026319153604e-05
0.005,6,0.00501386382803749,1.38638280374904e-05
0.005,7,0.00497503387349496,-2.49661265050403e-05
0.005,8,0.00497183833337874,-2.81616666212604e-05
0.005,9,0.00500889205621578,8.89205621578282e-06
0.005,10,0.0050456044704951,4.56044704950998e-05
0.005,11,0.00500351959291677,3.51959291677167e-06
0.005,12,0.00497575322324373,-2.42467767562681e-05
0.01,1,0.00995717490896664,-4.28250910333612e-05
0.01,2,0.0100127597528113,1.27597528113109e-05
0.01,3,0.00999883091415901,-1.16908584099455e-06
0.01,4,0.00999212594729802,-7.8740527019814e-06
0.01,5,0.00998936562760032,-1.06343723996795e-05
0.01,6,0.0100186127006484,1.86127006484484e-05
0.01,7,0.0100139026711423,1.39026711423115e-05
0.01,8,0.00997278137108711,-2.72186289128878e-05
0.01,9,0.0100054815685211,5.48156852107039e-06
0.01,10,0.0099684727059854,-3.15272940145956e-05
0.01,11,0.00998433979658156,-1.56602034184442e-05
0.01,12,0.0100217836895604,2.17836895604045e-05
0.1,1,0.100028380867357,2.83808673567781e-05
0.1,2,0.09998040600323,-1.95939967700259e-05
0.1,3,0.100002648788582,2.64878858230455e-06
0.1,4,0.100008999495495,8.999495495432e-06
0.1,5,0.0999905428825011,-9.45711749886224e-06
0.1,6,0.100003266324416,3.26632441619013e-06
0.1,7,0.0999953326320631,-4.66736793690303e-06
0.1,8,0.0999765201889203,-2.34798110797518e-05
0.1,9,0.100002334921726,2.33492172641014e-06
0.1,10,0.100001009275038,1.00927503791925e-06
0.1,11,0.100012419954495,1.2419954494719e-05
0.1,12,0.099992626518298,-7.37348170196106e-06
1,1,0.999899011318259,-0.00010098868174091
1,2,0.999888327292372,-0.00011167270762813
1,3,0.99992976803247,-7.02319675299767e-05
1,4,0.999938641567735,-6.13584322651795e-05
1,5,0.999925929007149,-7.40709928505057e-05
1,6,0.999926911602276,-7.30883977237973e-05
1,7,0.999902335836571,-9.76641634288233e-05
1,8,0.999892009185607,-0.000107990814393388
1,9,0.999873699415655,-0.000126300584344596
1,10,0.999953586187946,-4.6413812053836e-05
1,11,0.999952777239876,-4.72227601240327e-05
1,12,0.999901701634196,-9.82983658043279e-05
