Run,Omega_zadane_deg_s,Omega_zmierzone_deg_s,Blad_deg_s
1,0.0001,0.000109800633036648,9.80063303664765e-06
2,0.0001,0.000104482684058587,4.48268405858731e-06
3,0.0001,8.752839238618e-05,-1.247160761382e-05
4,0.0001,6.80244946413201e-05,-3.19755053586799e-05
5,0.0001,0.000100730604001703,7.30604001702672e-07
6,0.0001,5.55577271052465e-05,-4.44422728947535e-05
7,0.0001,0.000112645015503673,1.26450155036735e-05
8,0.0001,5.84783137606204e-05,-4.15216862393796e-05
9,0.0001,8.94412128726056e-05,-1.05587871273944e-05
10,0.0001,9.79878375556986e-05,-2.01216244430139e-06
11,0.0001,0.00013986002945266,3.98600294526602e-05
12,0.0001,0.00012876585624476,2.87658562447604e-05
13,0.0001,8.87547008944151e-05,-1.12452991055849e-05
14,0.0001,8.48689000602311e-05,-1.51310999397689e-05
15,0.0001,9.57378475958388e-05,-4.26215240416125e-06
16,0.0001,9.40287214672637e-05,-5.97127853273635e-06
17,0.0001,0.000114145909274375,1.41459092743751e-05
18,0.0001,0.000111773136672956,1.17731366729563e-05
19,0.0001,0.000141839075243415,4.18390752434149e-05
20,0.0001,9.52061842581454e-05,-4.79381574185465e-06
21,0.0001,7.19726950649739e-05,-2.80273049350261e-05
22,0.0001,0.000144076270159494,4.40762701594938e-05
23,0.0001,0.000107665226839405,7.66522683940485e-06
24,0.0001,0.000124375084765492,2.43750847654924e-05
25,0.0001,9.08168363468016e-05,-9.18316365319837e-06
26,0.0001,6.78218280790744e-05,-3.21781719209256e-05
27,0.0001,8.69604230608302e-05,-1.30395769391698e-05
28,0.0001,7.88717202333475e-05,-2.11282797666525e-05
29,0.0001,0.000135638764081677,3.5638764081677e-05
30,0.0001,9.76124392441266e-05,-2.38756075587343e-06
31,0.0001,0.000103609514019929,3.60951401992909e-06
32,0.0001,9.92695855324077e-05,-7.30414467592301e-07
33,0.0001,0.000142346227472207,4.2346227472207e-05
34,0.0001,9.4516628072536e-05,-5.48337192746405e-06
35,0.0001,0.000106774441050997,6.77444105099701e-06
36,0.0001,0.000137436162167603,3.74361621676029e-05
37,0.0001,0.000116903392483542,1.6903392483542e-05
38,0.0001,7.84651323667257e-05,-2.15348676332743e-05
39,0.0001,7.42018928169356e-05,-2.57981071830644e-05
40,0.0001,9.63522680915278e-05,-3.64773190847223e-06
41,0.0001,8.04664101286049e-05,-1.95335898713951e-05
42,0.0001,0.000100620363890973,6.20363890972575e-07
43,0.0001,9.906429588509e-05,-9.35704114910017e-07
44,0.0001,8.37378050376834e-05,-1.62621949623166e-05
45,0.0001,9.68721863008176e-05,-3.12781369918244e-06
46,0.0001,7.79673767825173e-05,-2.20326232174827e-05
47,0.0001,9.11371674745335e-05,-8.8628325254665e-06
48,0.0001,9.60754661352182e-05,-3.92453386478182e-06
49,0.0001,9.17071300355592e-05,-8.29286996444083e-06
50,0.0001,9.97347597177172e-05,-2.65240282282757e-07
