Run,Tavg_ms,Omega_est_deg_s
1,1,-2.7299769016781e-05
1,2,-5.75504836669247e-05
1,5,-2.61727505708634e-05
1,10,-6.797127305488e-06
1,20,-1.36840391433126e-05
2,1,-2.02177895130826e-05
2,2,-4.24109716435637e-05
2,5,-2.05154828160578e-05
2,10,5.28972808313877e-07
2,20,1.6955506435507e-06
3,1,-1.83862566798228e-05
3,2,-1.70956374605443e-05
3,5,8.28180948119024e-06
3,10,1.22168339250567e-05
3,20,4.86208490821352e-06
4,1,5.36285567294374e-05
4,2,4.5966576101535e-05
4,5,2.35450843191004e-06
4,10,-3.72900194008537e-05
4,20,-2.1326004600262e-05
5,1,2.20132238200241e-05
5,2,3.78815181365507e-05
5,5,-6.67531782686579e-06
5,10,1.8245598808976e-05
5,20,1.63844392581368e-05
6,1,1.73251820227659e-05
6,2,-1.39255183773275e-05
6,5,-2.74908990625181e-05
6,10,2.86964919427255e-05
6,20,1.72763748766802e-05
7,1,-1.67581619586797e-05
7,2,1.99109164394953e-05
7,5,-1.26669079134125e-05
7,10,2.10812611642354e-05
7,20,2.31286539801466e-05
8,1,-3.07782705623387e-07
8,2,2.7083312139314e-05
8,5,7.83920189090464e-06
8,10,1.57354412727013e-05
8,20,1.98132386447933e-05
9,1,8.62262150748071e-05
9,2,6.75346941602968e-05
9,5,3.33135573845542e-05
9,10,2.36220738455928e-05
9,20,1.16742566595969e-05
10,1,5.47507926857121e-06
10,2,3.06781324417481e-05
10,5,9.96274374804222e-06
10,10,-1.25570444012479e-05
10,20,2.3408476714313e-06
11,1,1.91990250485335e-05
11,2,4.08546604174574e-05
11,5,8.16012966757793e-06
11,10,1.59306370507865e-05
11,20,1.51321776908308e-05
12,1,1.42351122579017e-05
12,2,1.05417355839007e-05
12,5,9.87110411400615e-06
12,10,9.73407106258348e-06
12,20,-6.99498547999822e-06
13,1,6.288577459778e-05
13,2,3.3132704038729e-05
13,5,1.41452842224994e-05
13,10,1.75517648747624e-05
13,20,1.27562471731289e-05
14,1,2.93840645782056e-05
14,2,2.04223585286572e-06
14,5,-1.34406903456651e-05
14,10,1.01874877527515e-06
14,20,-5.60657113635952e-06
15,1,1.54330927619856e-06
15,2,1.44569452627277e-05
15,5,-1.23605425880938e-06
15,10,3.33324560545534e-06
15,20,9.78330275030299e-06
16,1,-3.15794975041903e-05
16,2,1.01301964305516e-06
16,5,-1.89060276303289e-05
16,10,-2.57322349811127e-05
16,20,-1.04622608424566e-05
17,1,-1.74031821772311e-05
17,2,1.61757233868155e-05
17,5,2.93034309693285e-06
17,10,7.88447593398409e-06
17,20,8.11471358088691e-06
18,1,-1.64404987130664e-05
18,2,-1.55431082567678e-05
18,5,-1.58949601083797e-05
18,10,-6.38011561290683e-06
18,20,-1.5126723886118e-05
19,1,-2.14423365626881e-05
19,2,3.00536599179001e-05
19,5,-1.26260375114417e-05
19,10,-1.55683945117667e-05
19,20,-7.54719131602536e-06
20,1,-3.50683537748282e-05
20,2,-5.16048045065373e-05
20,5,-2.6877356354155e-05
20,10,1.18969259259514e-05
20,20,-1.67692939246511e-06
21,1,-1.88199631522456e-05
21,2,-2.140331965021e-05
21,5,5.81933584881236e-07
21,10,5.88804479106206e-06
21,20,-1.94747099667228e-05
22,1,5.8670675169586e-05
22,2,6.64539356313403e-05
22,5,6.79296995908583e-06
22,10,2.27911280964972e-05
22,20,1.93799930366018e-05
23,1,-0.00012111176423986
23,2,-5.37790445435509e-05
23,5,-9.43488653893698e-06
23,10,-3.9585419846047e-05
23,20,-4.0685667171786e-05
24,1,1.07074090306669e-05
24,2,1.64936683001952e-05
24,5,-1.09818631523659e-05
24,10,-1.83224667848941e-05
24,20,-1.16029635927122e-05
25,1,2.56440110097394e-05
25,2,1.58393238507231e-05
25,5,-2.39660190004598e-06
25,10,-1.03951334505296e-05
25,20,-3.11580865174972e-05
26,1,-3.25852761425255e-06
26,2,-9.54022578359526e-06
26,5,-1.72377184814257e-05
26,10,-2.64417693968608e-05
26,20,-8.31024716945183e-07
27,1,-7.52368903544367e-05
27,2,-8.41480861717099e-05
27,5,-1.20241856051643e-05
27,10,-5.19109794348393e-06
27,20,-3.41290085402477e-06
28,1,-1.80474985546797e-05
28,2,1.98612292436942e-05
28,5,2.82490566913885e-05
28,10,4.54698462440354e-05
28,20,2.81034440812915e-05
29,1,3.71872265762424e-05
29,2,6.96811370562871e-06
29,5,4.86997835550628e-06
29,10,-2.01574278114115e-05
29,20,-1.71311504541261e-05
30,1,-8.09502022329446e-06
30,2,2.85954981998683e-05
30,5,4.65113318247314e-05
30,10,4.41826670515569e-05
30,20,1.04533021675776e-05
31,1,-8.73234293740279e-05
31,2,-3.9900421418908e-05
31,5,2.60060608011038e-06
31,10,4.95177841830285e-06
31,20,1.03973358602784e-05
32,1,2.83942549766883e-05
32,2,3.2781213421439e-05
32,5,-1.71446657598442e-05
32,10,-2.00563317641342e-05
32,20,2.90857287489498e-06
33,1,2.47628718407977e-05
33,2,1.16272554334123e-05
33,5,4.48245930436097e-05
33,10,3.62066259376378e-05
33,20,3.28954143840349e-05
34,1,1.234649546811e-05
34,2,-2.88054387159284e-05
34,5,-1.83958414894348e-05
34,10,-1.9093287772836e-06
34,20,1.4841439694607e-05
35,1,7.95347874403159e-07
35,2,-3.64142529573833e-05
35,5,-1.73094730656182e-05
35,10,2.20232316486676e-06
35,20,4.9249309864424e-06
36,1,-3.78038840516191e-05
36,2,-9.52672021818967e-06
36,5,2.20015704747299e-05
36,10,2.04061016549656e-05
36,20,2.44032351361075e-05
37,1,-2.31731280201549e-06
37,2,3.64337769177412e-06
37,5,3.13319823608943e-05
37,10,5.70171187079853e-06
37,20,-9.83587512942179e-06
38,1,4.41736186094454e-05
38,2,3.04458092019071e-05
38,5,1.07194286265308e-05
38,10,1.83076901737007e-05
38,20,-4.92307274424773e-06
39,1,-1.71460196689616e-06
39,2,1.48928343047614e-05
39,5,9.04200081251573e-06
39,10,1.45863777568053e-05
39,20,8.39192926159125e-06
40,1,-6.36827107382597e-05
40,2,-6.42315275947968e-05
40,5,-5.96630542733654e-05
40,10,-3.76473254482053e-05
40,20,-2.33110004299798e-05
41,1,-3.92019414531466e-06
41,2,-5.40874865594994e-05
41,5,-4.17788784958465e-05
41,10,-2.87874269193102e-05
41,20,-8.55073112659163e-06
42,1,-4.5867280241952e-05
42,2,-1.22714281931861e-05
42,5,-2.49439625531887e-05
42,10,2.48930733871502e-05
42,20,2.05622547926279e-05
43,1,2.72767457133179e-05
43,2,2.38764026703946e-05
43,5,-9.50166029602223e-06
43,10,3.81995966334109e-06
43,20,-1.36841600750576e-06
44,1,-3.66384271193494e-07
44,2,2.03483524655415e-05
44,5,-6.49518853499827e-06
44,10,-1.31930114077194e-06
44,20,-8.08229362782783e-06
45,1,-4.01432463200001e-05
45,2,-2.56393468966645e-05
45,5,-4.03444246967984e-06
45,10,-9.58891980705038e-06
45,20,-1.22224636269803e-05
46,1,-1.45969044918728e-05
46,2,-5.37563863026713e-06
46,5,-3.44573673485035e-05
46,10,-3.88955161090299e-05
46,20,-5.48750098724059e-05
47,1,1.92827269217632e-05
47,2,2.82505332242831e-05
47,5,2.87072169436017e-05
47,10,2.21083411729716e-05
47,20,2.29820567690532e-06
48,1,-5.83608736887594e-05
48,2,-5.70628786705424e-05
48,5,-1.59396141292631e-05
48,10,-3.00094356861899e-05
48,20,2.75570026386809e-06
49,1,-4.36990638828498e-06
49,2,-1.23841203527494e-05
49,5,2.27393729954157e-06
49,10,5.60283626268609e-06
49,20,-4.15954081891595e-06
50,1,5.92877962422838e-05
50,2,3.00366902118639e-05
50,5,1.90912774561976e-05
50,10,1.81444211268866e-05
50,20,-6.32463887661727e-07
51,1,-4.22893690108177e-05
51,2,-6.18149943510994e-05
51,5,-1.17675389586389e-05
51,10,-9.03235595888166e-06
51,20,5.06437187285001e-06
52,1,2.24380054079871e-05
52,2,3.02963814830773e-06
52,5,-5.27148633292681e-06
52,10,-3.37294966449609e-05
52,20,-4.67372813866615e-06
53,1,4.69705131214077e-05
53,2,-3.14649310463895e-06
53,5,-9.54667719692001e-06
53,10,5.78620417228958e-06
53,20,-7.50445096421774e-06
54,1,-0.000102047992766514
54,2,-0.000101237703770861
54,5,-3.28774873746505e-05
54,10,-1.31324169220858e-05
54,20,-2.30529925708626e-06
55,1,-2.81813501155211e-07
55,2,3.09313769291644e-06
55,5,-3.45271049068969e-05
55,10,-4.8975891771442e-06
55,20,-1.20984917931686e-05
56,1,-2.27069216460039e-05
56,2,-4.73684510078795e-05
56,5,-8.88757618937827e-07
56,10,-6.05801709780562e-07
56,20,-3.39605093269016e-06
57,1,-3.23925943459842e-05
57,2,-4.19190207178009e-05
57,5,-4.32561478103623e-05
57,10,-2.93150014686993e-05
57,20,-7.60456341131225e-07
58,1,-8.741253361312e-05
58,2,-8.36721217279256e-05
58,5,-3.79798518033084e-05
58,10,2.87353952797382e-05
58,20,9.5901090486489e-06
59,1,-0.000129079355692312
59,2,-6.60429913895914e-05
59,5,-2.06273478284594e-06
59,10,7.55482859564233e-06
59,20,-1.16400100252443e-05
60,1,-5.66639598966837e-05
60,2,-1.64799997446013e-05
60,5,2.10664606734385e-05
60,10,5.00537653655151e-06
60,20,-2.73763602764556e-06
61,1,-2.50625950427877e-05
61,2,-3.19079301477766e-05
61,5,-3.47715453740953e-05
61,10,-3.39152204437854e-05
61,20,-2.58103060849605e-05
62,1,0.000102197737240768
62,2,0.000108368650553834
62,5,4.09752221525373e-05
62,10,2.3203331092022e-05
62,20,-3.79390925676135e-06
63,1,-0.000107159654881762
63,2,-7.25114791612296e-05
63,5,-1.25752025038118e-05
63,10,-1.01423972889418e-05
63,20,5.12367733761718e-06
64,1,3.24676713813709e-05
64,2,5.95779776821023e-05
64,5,4.1374987638152e-05
64,10,1.73281674744138e-05
64,20,3.67304110021572e-05
65,1,-4.31927449934557e-05
65,2,-2.50218565591849e-05
