fs_kSps,Clock_phase_fraction_of_Ts,Clock_offset_ns,Omega_est_at_1deg_s,Error_at_1deg_s,Omega_est_at_1e_4deg_s,Error_at_1e_4deg_s
500,0,0,0.999881037665498,-0.000118962334502037,0.000105462763982941,5.46276398294074e-06
500,0.1,200,1.00014986424893,0.000149864248931264,4.42804173433038e-05,-5.57195826566962e-05
500,0.2,400,0.999977133154623,-2.28668453765568e-05,5.0997016060302e-05,-4.9002983939698e-05
500,0.3,600,0.999980102218637,-1.98977813630208e-05,5.66435888801737e-05,-4.33564111198263e-05
500,0.4,800,1.00000669050635,6.69050635337953e-06,8.59306418720018e-05,-1.40693581279982e-05
500,0.5,1000,0.999904940213716,-9.50597862843239e-05,-5.02361444247948e-05,-0.000150236144424795
500,0.6,1200,0.999916778413541,-8.32215864590147e-05,0.000108188679886874,8.18867988687402e-06
500,0.7,1400,0.999978820517892,-2.11794821077804e-05,7.08199211593625e-05,-2.91800788406375e-05
500,0.8,1600,1.00005003787799,5.0037877988407e-05,0.000260644685434541,0.000160644685434541
500,0.9,1800,1.00009084926383,9.08492638334035e-05,0.000105572582359645,5.57258235964488e-06
1000,0,0,0.999869170876465,-0.00013082912353457,2.76128075221467e-05,-7.23871924778533e-05
1000,0.1,100,0.999954065185611,-4.59348143890814e-05,8.74673915791704e-05,-1.25326084208296e-05
1000,0.2,200,1.00000949989028,9.49989028087295e-06,7.62328712096353e-05,-2.37671287903647e-05
1000,0.3,300,0.999926935561807,-7.30644381927714e-05,5.62488761021913e-05,-4.37511238978087e-05
1000,0.4,400,0.99995415673873,-4.58432612702175e-05,6.09071607565532e-05,-3.90928392434468e-05
1000,0.5,500,1.00002327162347,2.32716234715991e-05,4.49668622326585e-05,-5.50331377673415e-05
1000,0.6,600,0.999991249061234,-8.75093876573363e-06,0.000158640506670907,5.86405066709073e-05
1000,0.7,700,1.00002342773178,2.3427731778547e-05,6.36453249693308e-05,-3.63546750306692e-05
1000,0.8,800,1.0000249481048,2.49481048000266e-05,9.57494833444183e-05,-4.25051665558174e-06
1000,0.9,900,0.999973420334736,-2.65796652639816e-05,8.52755975212204e-05,-1.47244024787796e-05
2000,0,0,1.00037051275217,0.000370512752169594,3.63053295401033e-05,-6.36946704598968e-05
2000,0.1,50,1.00036189228787,0.00036189228787209,1.8960693042245e-05,-8.1039306957755e-05
2000,0.2,100,1.00039695984825,0.000396959848252276,0.000123106237304779,2.31062373047786e-05
2000,0.3,150,1.00033707531935,0.000337075319351454,0.000108950555656114,8.95055565611358e-06
2000,0.4,200,1.00044078515945,0.000440785159451451,6.99688606893042e-05,-3.00311393106958e-05
2000,0.5,250,1.00037768995473,0.000377689954729865,0.000107103858866495,7.1038588664945e-06
2000,0.6,300,1.00040024598407,0.000400245984073511,7.60315135493005e-05,-2.39684864506995e-05
2000,0.7,350,1.00040703299817,0.000407032998174239,0.000125358154392176,2.53581543921764e-05
2000,0.8,400,1.00038808746615,0.000388087466147491,7.31224807944209e-05,-2.68775192055791e-05
2000,0.9,450,1.00038169814041,0.000381698140410336,0.00014504595101064,4.50459510106402e-05
