Layer,Layer_center_diameter_mm,Turns,Fiber_length_in_layer_m,Cumulative_length_m
1,155.242,111.0,54.1354910668731,54.1354910668731
2,155.726,111.0,54.3042699905946,108.439761057468
3,156.21,111.0,54.473048914316,162.912809971784
4,156.694,111.0,54.6418278380375,217.554637809821
5,157.178,111.0,54.810606761759,272.36524457158
6,157.662,111.0,54.9793856854804,327.344630257061
7,158.146,111.0,55.1481646092019,382.492794866262
8,158.63,111.0,55.3169435329233,437.809738399186
9,159.114,111.0,55.4857224566448,493.295460855831
10,159.598,111.0,55.6545013803662,548.949962236197
11,160.082,111.0,55.8232803040877,604.773242540285
12,160.566,111.0,55.9920592278092,660.765301768094
13,161.05,111.0,56.1608381515306,716.926139919624
14,161.534,111.0,56.3296170752521,773.255756994876
15,162.018,111.0,56.4983959989735,829.75415299385
16,162.502,111.0,56.667174922695,886.421327916545
17,162.986,111.0,56.8359538464164,943.257281762961
18,163.47,110.489803534537,56.7427182370387,1000.0
