Port_A_percent,Port_B_percent,Relative_interference_scale,Penalty_dB
40,60,0.96,0.177287669604316
41,59,0.9676,0.143041403101579
42,58,0.9744,0.112627247111998
43,57,0.9804,0.0859669741995966
44,56,0.9856,0.062993051796497
45,55,0.99,0.0436480540245004
46,54,0.9936,0.0278841716749496
47,53,0.9964,0.0156628113553107
48,52,0.9984,0.006954276616512
49,51,0.9996,0.0017375254558756
50,50,1.0,-0.0
51,49,0.9996,0.0017375254558756
52,48,0.9984,0.0069542766165125
53,47,0.9964,0.0156628113553112
54,46,0.9936,0.0278841716749501
55,45,0.99,0.0436480540245009
56,44,0.9856,0.0629930517964975
57,43,0.9804,0.0859669741995966
58,42,0.9744,0.112627247111998
59,41,0.9676,0.143041403101579
60,40,0.96,0.177287669604316
