Sensor_sample_period_s,Sensor_noise_STD_C,Compensation_filter_tau_s,Thermal_stress_ramp_C_per_min,Residual_RMS_deg_h,Residual_P95_abs_deg_h,Residual_mean_max_abs_deg_h,Pass_thermal_budget
0.5,0.005,10,5,0.0339998560006899,0.0684962211076074,0.146200177772295,1
0.5,0.01,10,5,0.0605078467817525,0.118475909363851,0.230909463831929,1
0.5,0.03,10,5,0.173979859115079,0.342157290825204,0.610504514890442,0
0.5,0.05,10,5,0.288941931319895,0.565198249888742,1.0591412250903,0
1,0.005,10,5,0.0327610727197951,0.0654315348377813,0.130857747555222,1
1,0.01,10,5,0.0583732720405944,0.115098944983727,0.214736675049688,1
1,0.03,10,5,0.165240325805424,0.323024983283224,0.570270664522973,0
1,0.05,10,5,0.275192578498723,0.543108580802633,0.896835085670897,0
2,0.005,10,5,0.0310039184697019,0.0625503257162628,0.114487877741168,1
2,0.01,10,5,0.0520350602678592,0.100752788548493,0.177403289618104,1
2,0.03,10,5,0.152467955636482,0.297735655905935,0.471865876217088,0
2,0.05,10,5,0.251709521722248,0.491512210429264,0.812300146368939,0
5,0.005,10,5,0.0271975487239595,0.0566607945047607,0.100818545782327,1
5,0.01,10,5,0.0447866684541747,0.0868786192098486,0.130561517138838,1
5,0.03,10,5,0.122637363947682,0.237176651314984,0.390203513024632,0
5,0.05,10,5,0.205018888317881,0.395806241689711,0.594993543571085,0
