Former_material,Temperature_C,Coil_diameter_mm,Fiber_length_m,Group_index,Beta_rad,Relative_scale_factor,Scale_error_ppm,Error_at_1deg_s_deg_s,Error_at_20deg_s_deg_s
Al6061-T6,-10,159.262840534942,999.98075,1.467906,1.83960895977374,0.999154385942012,-845.614057987776,-0.0008456140579877,-0.0169122811597555
Al6061-T6,-5,159.281649085988,999.9835,1.467948,1.8396648223361,0.999275192559943,-724.807440057207,-0.0007248074400572,-0.0144961488011441
Al6061-T6,0,159.300457637035,999.98625,1.46799,1.83972068500751,0.999395997642656,-604.002357343703,-0.0006040023573437,-0.0120800471468741
Al6061-T6,5,159.319266188081,999.989,1.468032,1.83977654778796,0.999516801189353,-483.198810646623,-0.0004831988106466,-0.0096639762129324
Al6061-T6,10,159.338074739127,999.99175,1.468074,1.83983241067744,0.999637603199236,-362.396800764109,-0.0003623968007641,-0.0072479360152821
Al6061-T6,15,159.356883290173,999.9945,1.468116,1.83988827367595,0.999758403671503,-241.596328496629,-0.0002415963284966,-0.0048319265699325
Al6061-T6,20,159.37569184122,999.99725,1.468158,1.83994413678347,0.999879202605358,-120.797394642103,-0.0001207973946421,-0.002415947892842
Al6061-T6,25,159.394500392266,1000,1.4682,1.84,1,2.22044604925031e-10,2.2204460492503099e-16,4.44089209850063e-15
Al6061-T6,30,159.413308943312,1000.00275,1.468242,1.84005586332553,1.00012079585463,120.79585463165,0.0001207958546316,0.002415917092633
Al6061-T6,35,159.432117494359,1000.0055,1.468284,1.84011172676005,1.00024159016845,241.5901684516,0.0002415901684516,0.004831803369032
Al6061-T6,40,159.450926045405,1000.00825,1.468326,1.84016759030356,1.00036238294066,362.382940662709,0.0003623829406627,0.0072476588132541
Al6061-T6,45,159.469734596451,1000.011,1.468368,1.84022345395605,1.00048317417047,483.174170465173,0.0004831741704651,0.0096634834093034
Al6061-T6,50,159.488543147497,1000.01375,1.46841,1.84027931771751,1.00060396385706,603.963857059631,0.0006039638570596,0.0120792771411926
Al6061-T6,55,159.507351698544,1000.0165,1.468452,1.84033518158792,1.00072475199965,724.751999647388,0.0007247519996473,0.0144950399929478
Al6061-T6,60,159.52616024959,1000.01925,1.468494,1.84039104556729,1.00084553859743,845.538597429307,0.0008455385974293,0.0169107719485861
Invar36,-10,159.387247942498,999.98075,1.467906,1.83960895977374,0.999934870620585,-65.1293794152741,-6.51293794152741e-05,-0.0013025875883054
Invar36,-5,159.388284006751,999.9835,1.467948,1.8396648223361,0.999944181307799,-55.8186922010595,-5.58186922010595e-05,-0.0011163738440211
Invar36,0,159.389320071003,999.98625,1.46799,1.83972068500751,0.999953489831733,-46.5101682665114,-4.65101682665114e-05,-0.0009302033653302
Invar36,5,159.390356135256,999.989,1.468032,1.83977654778796,0.999962796192325,-37.2038076748016,-3.72038076748016e-05,-0.000744076153496
Invar36,10,159.391392199508,999.99175,1.468074,1.83983241067744,0.999972100389511,-27.8996104887685,-2.78996104887685e-05,-0.0005579922097753
Invar36,15,159.392428263761,999.9945,1.468116,1.83988827367595,0.999981402423228,-18.5975767723612,-1.85975767723612e-05,-0.0003719515354472
Invar36,20,159.393464328013,999.99725,1.468158,1.83994413678347,0.999990702293411,-9.29770658852913,-9.29770658852913e-06,-0.0001859541317705
Invar36,25,159.394500392266,1000,1.4682,1.84,1,2.22044604925031e-10,2.2204460492503099e-16,4.44089209850063e-15
Invar36,30,159.395536456519,1000.00275,1.468242,1.84005586332553,1.00000929554293,9.29554293049861,9.29554293049861e-06,0.0001859108586099
Invar36,35,159.396572520771,1000.0055,1.468284,1.84011172676005,1.00001858892214,18.5889221384627,1.85889221384627e-05,0.0003717784427692
Invar36,40,159.397608585024,1000.00825,1.468326,1.84016759030356,1.00002788013756,27.8801375614979,2.78801375614979e-05,0.0005576027512299
Invar36,45,159.398644649276,1000.011,1.468368,1.84022345395605,1.00003716918914,37.1691891363213,3.71691891363213e-05,0.0007433837827264
Invar36,50,159.399680713529,1000.01375,1.46841,1.84027931771751,1.0000464560768,46.4560767996502,4.64560767996502e-05,0.000929121535993
Invar36,55,159.400716777781,1000.0165,1.468452,1.84033518158792,1.00005574080049,55.7408004886462,5.57408004886462e-05,0.0011148160097729
Invar36,60,159.401752842034,1000.01925,1.468494,1.84039104556729,1.00006502336014,65.0233601402483,6.50233601402483e-05,0.0013004672028049
