Vpi_V,Driver_Vpp,Usable_2pi_cycles,Reset_frequency_at_20deg_s_kHz,Required_BW_kHz,Ideal_max_Omega_with_20kHz_PZT_deg_s,Pass_20deg_s
2.5,20,4,6.11228768475868,21.3930068966554,18.6976988289821,0
2.5,40,8,3.05614384237934,10.6965034483277,37.3953976579643,1
2.5,50,10,2.44491507390347,8.55720275866215,46.7442470724554,1
2.5,80,16,1.52807192118967,5.34825172416384,74.7907953159286,1
2.5,100,20,1.22245753695174,4.27860137933107,93.4884941449107,1
2.5,150,30,0.814971691301157,2.85240091955405,140.232741217366,1
4.5,20,2,12.2245753695174,42.7860137933107,9.34884941449107,0
4.5,40,4,6.11228768475868,21.3930068966554,18.6976988289821,0
4.5,50,5,4.88983014780694,17.1144055173243,23.3721235362277,1
4.5,80,8,3.05614384237934,10.6965034483277,37.3953976579643,1
4.5,100,11,2.22265006718497,7.77927523514741,51.4186717797009,1
4.5,150,16,1.52807192118967,5.34825172416384,74.7907953159286,1
10,20,1,24.4491507390347,85.5720275866215,4.67442470724554,0
10,40,2,12.2245753695174,42.7860137933107,9.34884941449107,0
10,50,2,12.2245753695174,42.7860137933107,9.34884941449107,0
10,80,4,6.11228768475868,21.3930068966554,18.6976988289821,0
10,100,5,4.88983014780694,17.1144055173243,23.3721235362277,1
10,150,7,3.4927358198621,12.2245753695174,32.7209729507187,1
20,20,0,NaN,NaN,0,0
20,40,1,24.4491507390347,85.5720275866215,4.67442470724554,0
20,50,1,24.4491507390347,85.5720275866215,4.67442470724554,0
20,80,2,12.2245753695174,42.7860137933107,9.34884941449107,0
20,100,2,12.2245753695174,42.7860137933107,9.34884941449107,0
20,150,3,8.14971691301157,28.5240091955405,14.0232741217366,0
